question,answer
How does BigRock help small business owners succeed ?,"BigRock offers everything you need to create a memorable and effective online presence â€” domain and web hosting, website builder, managed SEO services, and more. Our feature-rich and reasonably priced hosting plans will help you keep your website secure and highly functional. In addition, our professional email services help you build a professional image while our online marketing tools empower businesses and professionals to attract customers and rank high on SERPs."
Why Buy Domain Name from BigRock?,"BigRock offers a wide range of domain extensions like .in, .com, and .org at reasonably affordable prices. When you buy a domain with us, you can stay assured of customer support standards and free services like DNS management, free email accounts, domain theft protection, domain forwarding, and an easy-to-use control panel."
What domains are available from BigRock ?,"At BigRock, you can register new domain names, including premium domains using various TLDs like .com, .in, .org and more. We offer lucrative discounts and deals on some TLDs and multi-year domain registrations. While there are many .com domains available, you can also explore options like .net, .tech, .me, .biz, and more."
How do I choose the right domain registrar ?,"While pricing is an important factor, there are other essential factors that you need to consider while choosing the right domain registrar. These include registration period, domain transfer services, domain expiration policies, add-on services like DNS Management, Domain Theft Protection, and more. All of these come as a standard with BigRock, alongside a competitive price."
Why do I need a website for my business ?,"A businessâ€™ online presence can significantly impact its success as it offers plenty of benefits beyond reaching a broader audience. Creating a website can enhance your organizationâ€™s credibility, increase your chances of getting leads, offer social proof, help you compete with other industry giants, and showcase your offers. We will also add one year to your domainâ€™s current expiry date for no additional cost. Meaning, you will not lose any time even if you transfer your domain months before its expiry date."
How does domain registration work?,"It starts with you deciding on the domain name. Ideally, it should be a shorter version of your companyâ€™s name or something that is memorable and easy to understand. Next, search to see if the domain name is available. If it is, you need to complete the domain registration. Meanwhile, if another company or individual has already taken your desired domain name, you can browse through and select the next top choice."
Why do I need a professional email?,"There are many reasons for having a professional email. Here are the top three: It helps in regaining customersâ€™ trust. For instance, customers will trust a domain-based email address like [emailÂ protected] than [emailÂ protected] . A professional email address provides security with leading spam and virus filters. A domain-based email address promotes your business effectively. It also encourages potential customers to visit your website."
"Why should I transfer my domain, website, or web hosting to BigRock?","BigRock offers top-notch web presence solutions at an economical price with unparalleled customer support and free services, making us one of the preferred domain and hosting providers in India and in other countries. While you transfer your domain to us, your domain nameâ€™s servers are not altered anytime during the process; hence, your domain will not face any downtime."
What makes BigRock the world leader in Web Hosting?,"With decades in the industry and vast experience delivering world-class services, we have helped businesses scale new heights. Our core offerings include domain name registration, website hosting, email hosting, VPS hosting, and more. We also ace in value-added services such as WHOIS, DNS management, and premium domain sales, with the addition of uncompromised assistance to our customers."
What is the BigRock Affiliate program and how does it work?,"The BigRock Affiliate program is an online marketing program where you promote BigRock products to your friends, customers etc and get paid commissions for every successful purchase. Once you sign-up, you will receive a tracking link which you can share with potential customers and earn commissions. In case you already have a website, all you need to do is place our banners or text links that we provide on your website, blog, facebook/twitter page and drive visitors to your unique URL and earn commissions. *Please note, commissions are paid ONLY on sales made through your affiliate link."
How much can I earn?,"Your earnings are directly proportional to the amount of effort you put in to drive sales. You can earn upto Rs. 10,000 for each customer that completes a purchase. You can read about the Commission Details here . and within your IO post signup."
What Is an IO?,"An Insertion Order or IO is a set of rules that govern the working of the BigRock Affiliate Program. It specifies details regarding commissions paid on different products, rules related to promotional activities, payouts and coupon codes on the Impact Radius platform."
How much do I have to pay to join the BigRock Affiliate Program?,There is NO COST in joining the BigRock Affiliate Program.
What type of websites may be part of the BigRock Affiliate Program?,"We encourage all interested people to apply to our program. In case you already have a website, we will need to approve your site before you can start selling our products. Any site that displays content related to, but not limited to the following would not be signed up: Adult sites, Software piracy, ROM or emulator sites, and sites which promote or engage in illegal activity such as hateful or racist speech etc. Please note that BigRock reserves the right to bar you at any time from the Affiliate program if you do not comply with our Affiliate Terms View Agreement"
How do I sign up for the Affiliate program?,Weâ€™ve partnered with industry leaders Impact Radius to offer accurate tracking and on time payment processing. Sign Up
What products will I sell through the BigRock Affiliate Program?,"As an affiliate, you can sell all BigRock Products. Our Products include: â€“ Domain Name Registration â€“ Website Hosting â€“ Email Hosting â€“ Do-it-Yourself Website Builder Tool â€“ Digital Certificates"
What technical skills do I need to have to become an Affiliate?,"To become a BigRock Affiliate you do not require any technical skills. We will provide you with a ready-made banners, links, etc."
What are the benefits of becoming a BigRock Affiliate?,"BigRock Affiliate Program lets you add to your income by advertising for quality online products and services. Below are the key benefits of becoming a BigRock Affiliate: â€“ Free Sign up â€“ Earn upto Rs.10,000 per sale â€“ BigRock will provide you with all marketing collateral â€“ Monthly Payouts â€“ World Class Products â€“ BigRock manages Customer support &amp; service"
Where can I view the IO in my Panel?,You can view the IO under Campaigns >> My Campains >> Terms
How are sales made on my affiliate URL tracked?,Our affiliate program uses cookie tracking to track and award sales made on the affiliate URL. The tracking cookie is valid for 60 days. This means that commissions will be paid on qualified sales within the cookie period i.e. you will earn a commission for qualified sales made within 60 days of referring the customer.
What is a SubID and how is it used?,"As a Media Partner, adding subID values to your tracking links enables you to place them on different sites or provide them to your sub-affiliates. You can append up to three subID values and one sharedID value to your tracking links and then see those results in reporting. You can add subID from your dashboard by click on â€œShow Advanced Settingsâ€ under â€œCreate a Linkâ€"
How does a SubID work?,"When a visitor clicks a tracking link on a Media Partnerâ€™s site with subID or sharedID values appended, those values are captured and stored. The values are then included in reporting, enabling Media Partners to tie the subID and sharedID values to clicks and actions. All campaign ads allow subIDs to be dynamically populated and appended to the adâ€™s tracking link by default. The below outline some common scenarios in which this feature is desirable: â€“ Optimizing paid search campaigns by appending the keyword â€“ Optimizing ad placement across a site by including different subID values based on the location of the banner or text link â€“ CPA networks append their partnerID to track activity at the sub-affiliate level â€“ Loyalty programs are able to tie conversions back to a specific member â€“ Media Partners using postback tracking can dynamically populate subID values as identifiers for each of their sub-affiliates"
How is a SubID different from a SharedID?,â€“ SubID values are available in Media Partner reporting only. The sharedID value is available in both Media Partner and Advertiser reports. â€“ It is common for CPA or sub-affiliate networks to append a sharedID parameter to their tracking links. The sharedID is often the CPA network assigned partnerID. This enables the Advertiser to optimize and monitor activity at the sub-affiliate level. The general format of a tracking link with subID and sharedID values appended is as follows: http://trackingdomain.ojrq.net/c/mpid/adid/campaignid?subId1=value1&subId2=value2&subId3=value3&sharedId=value4
Where can I see the reporting of SubIDs?,Once youâ€™ve finished implementing subIDs or sharedID on your tracking links youâ€™ll want to use the available reporting in your Impact Radius media partner account. They can be found in two primary places: â€“ Performance by SubId â€“ Advanced Action Listing Both of these reports can be found in the Reporting &gt;&gt; All Reports section of the Impact Radius interface.
Does BigRock use its tracking technology to gather information on Affiliate customers or site visitors?,"No, we do not use our affiliate tracking code to track or log customer information other than that required to payout commissions to affiliate."
How do I monitor my commissions?,"You can view your account status, sales activity, commissions and much more by logging into your affiliate control panel"
Will I get the same commissions if a discount coupon is availed during purchase?,"If a coupon is applied during purchase, the commission calculated would be reduced in proportion to the discount earned."
What is an Action?,Actions are purchases made by customers referred by you.
How often do commissions get paid?,"Commissions are paid when an action locks, which is 60 days from when it took place. This means that commissions for the entire month of January are paid on or before the 30th of March."
What if a sale referred from my website doesn't show up in reporting?,"In general, you can expect about 2-4 hour lag in data being reported in the panel. However, if you still donâ€™t see an action reported then we will work with you to resolve this as quickly as possible. Simply create an Action Inquiry from Campaigns >> Pending Actions >> Action Inquiries and provide us with the Order ID. We will review this and add it if it was missed."
Is data reported in Real-time?,"No, there a slight lag in data being captured and reported in dashboard. Expect about 2-4 hour delay in metrics updating in your panel."
If a coupon is applied while making a purchase will it impact my commissions?,"If a coupon is applied during purchase, the commission calculated would be reduced in proportion to the discount earned. This means if a 20% discount coupon is applied while purchasing an Essential Web Hosting plan you will earn Rs.600 commission on that particular transaction (commission reduced by 20%). You will be able to see which coupons will impact your commissions within your IO."
